GlobalEventID,is_supply_chain_relevant,impact_domain_draft,country,summary_kr,error_msg,affected_material,tone_score,event_type,GoldsteinScale,NumArticles,AvgTone,Actor1Type1Code,Actor2Type1Code,ActionGeo_CountryCode,Date,bdi_pct_change,bdi_zscore_20d,stock_volatility_20d,has_stock_data,gdacs_alert_level,rainfall_24h_mm,has_weather_data,event_type_clean
956424813,True,지정학,Brazil,"브라질 아마존의 아피테레와 원주율 지역에서 불법 침입과 삼림 파괴가 급증하고 있으며, 이는 환경 보호 정책의 약화와 정부의 무관심에 기인하고 있다. 이 지역은 원주율 민족의 전통적인 거주지로, 2007년에 보호 구역으로 지정되었지만, 최근 몇 년간 외부인들의 불법적인 농업 및 벌목 활동으로 인해 삼림이 급격히 감소하고 있다. 이로 인해 생태계와 원주율 민족의 생존이 위협받고 있다.",,"[""timber"", ""forest""]",-0.8,deforestation,-9.5,4,-4.73469387755102,,,BR,2020-11-25,1.6129032258064502,-0.0142997781868856,0.0,0,0.0,0.0,0,not_relevant
1085680617,False,기타,United States,이 기사는 버지니아의 포토그래퍼 마이클 웨이드가 버려진 건물들을 촬영하며 잃어버린 꿈과 그에 대한 이야기를 담고 있습니다. 공급망 리스크와는 관련이 없습니다.,,[],0.0,Documenting Abandoned Buildings,-9.5,2,0.81068192656175,,,US,2023-02-20,2.6022304832713727,-1.1796358414731347,0.0,0,0.0,0.0,0,not_relevant
1041595054,True,지정학,Perú,"페루의 라스 밤바스 구리 광산에서 발생한 경찰의 강제 퇴거로 인해 3명이 부상하고 11명이 체포되었습니다. 이 사건은 중국 MMG 운영자에 대한 광부들의 시위와 관련이 있으며, 페루 정부는 비상사태를 선언했습니다. 이로 인해 공급망에 대한 리스크가 증가할 수 있습니다.",,"[""cobre""]",-0.5,protest,-9.5,10,-4.53333333333333,COP,MIL,PE,2022-04-28,-0.9072164948453644,1.2537279544035886,22.30922704659505,1,0.0,0.0,0,protest_unrest
1086367402,True,지정학,United States,"메인주에서 그라나이트 페그마타이트를 주 암석으로 지정하려는 논의가 진행되고 있으며, 이는 주의 경제와 환경에 중요한 영향을 미칠 수 있는 자원으로 평가받고 있다. 이 암석은 리튬과 같은 핵심 광물을 포함하고 있어, 전 세계적으로 친환경 경제로의 전환에 기여할 수 있는 잠재력을 지니고 있다.",,"[""granitic pegmatite"", ""tourmaline"", ""lithium"", ""feldspar"", ""quartz"", ""beryl"", ""spodumene""]",0.5,Legislative Proposal,-9.5,3,2.3542600896861,,,US,2023-02-23,21.068249258160243,2.9158350896609724,0.0,0,0.0,0.0,0,policy_regulation
1126775200,True,기타,South Africa,"이 기사는 블루에티의 혁신적인 전력 솔루션을 통해 남아프리카 공화국의 전력 위기를 해결하려는 노력을 다루고 있습니다. 블루에티는 가정용 백업 전력 솔루션을 제공하여 전력 부족 문제를 완화하고 있으며, 다양한 제품을 통해 사용자들이 전력을 효율적으로 관리할 수 있도록 돕고 있습니다.",,"[""lithium iron phosphate""]",0.5,product launch,-9.5,2,-0.38910505836576,,,SF,2023-09-14,3.875968992248069,2.169583602272084,0.0,0,0.0,0.0,0,not_relevant
1253893240,False,기타,Canada,"이 기사는 캐나다의 역사와 과학 혁신에 대한 내용을 다루고 있으며, 공급망 리스크와는 관련이 없습니다.",,[],0.1,Philanthropy,-9.5,6,1.85322461082283,CVL,,CA,2025-07-24,6.509433962264155,1.863851614951873,0.0,0,0.0,0.0,0,not_relevant
1168023325,False,기타,South Africa,"이 기사는 남아프리카 공화국의 국경과 이민자들의 위험한 상황을 다루고 있으며, 공급망 리스크와는 관련이 없습니다.",,[],-0.5,Political Issue,-9.5,8,-5.09449465899754,,,SF,2024-04-05,-2.456560814859199,-1.7406345417904203,0.0,0,0.0,0.0,0,not_relevant
1168023326,False,기타,South Africa,"이 기사는 남아프리카 공화국의 국경 지역에서 이주민들이 겪는 위험과 폭력에 대한 내용을 다루고 있습니다. 공급망 리스크와는 관련이 없으며, 이주민들의 생존을 위한 위험한 여정과 정치적 상황을 설명하고 있습니다.",,[],-0.5,Political Issue,-9.5,2,-5.09449465899754,,,ZI,2024-04-05,-2.456560814859199,-1.7406345417904203,0.0,0,0.0,0.0,0,not_relevant
932275587,True,기타,United States,"2021 Ford F-150은 미국에서 가장 많이 팔리는 트럭으로, 새로운 하이브리드 파워트레인과 다양한 기술적 혁신을 통해 생산성과 편안함을 개선하고 있습니다. 이 차량은 공급망 리스크와 관련하여 중요한 요소로 작용할 수 있습니다.",,"[""aluminum"", ""hybrid powertrain""]",0.5,product launch,-9.5,4,1.15178938708351,,CRM,CA,2020-06-29,2.572898799313883,1.4096856434500245,18.142448439772167,1,0.0,0.0,0,not_relevant
1199261761,True,지정학,Zimbabwe,"짐바브웨의 리튬 채굴은 국가 경제 발전에 중요한 역할을 하고 있으며, 이는 공급망 리스크와 관련이 있습니다.",,"[""Lithium""]",0.0,Economic Development,-9.5,2,-0.99031690140845,BUS,,ZI,2024-09-19,4.550264550264549,1.22156085672523,0.0,0,0.0,0.0,0,not_relevant
