,ALI=F,GLNCY,HG=F,LIT,REMX,S32.AX,SYR.AX,TIO=F,VALE
2018-01-02,2244.5,7.562641143798828,3.25600004196167,36.15058898925781,71.82369232177734,2.554052352905273,4.502288818359375,73.9000015258789,6.606471538543701
2018-01-03,2244.5,7.442709922790527,3.236999988555908,36.34195709228516,72.94776916503906,2.604987859725952,4.521407127380371,73.43000030517578,6.647858142852783
2018-01-04,2244.5,7.470929622650146,3.242500066757202,36.30551910400391,73.83766174316406,2.5904345512390137,4.492730140686035,74.61000061035156,6.637510299682617
2018-01-05,2244.5,7.414491176605225,3.2070000171661377,36.90696334838867,74.61046600341797,2.6559226512908936,4.616996765136719,75.38999938964844,6.772019863128662
2018-01-08,2244.5,7.56969404220581,3.200999975204468,37.435508728027344,74.7743911743164,2.6559226512908936,4.492730140686035,76.98999786376953,6.891007423400879
2018-01-09,2244.5,7.576748847961426,3.194499969482422,37.23501968383789,75.21932983398438,2.71413516998291,4.559642791748047,77.62000274658203,6.849622249603272
2018-01-10,2244.5,7.724897861480713,3.2149999141693115,36.73382186889648,74.54020690917969,2.6850290298461914,4.330226898193359,77.4000015258789,6.803060531616211
2018-01-11,2244.5,7.781335830688477,3.213500022888184,36.86139297485352,74.7509765625,2.7068588733673096,4.215518951416016,77.72000122070312,6.958264350891113
2018-01-12,2244.5,7.887157440185547,3.200000047683716,37.0618782043457,76.226318359375,2.816006183624268,4.244195938110352,77.37000274658203,6.999650478363037
2018-01-15,,,,,,2.8887715339660645,4.32066822052002,,
2018-01-16,2244.5,7.809554100036621,3.1989998817443848,36.29640579223633,75.21932983398438,2.896047592163086,4.406699180603027,76.51000213623047,6.813406944274902
2018-01-17,2244.5,7.9718146324157715,3.1665000915527344,36.41487121582031,74.89148712158203,2.852389097213745,4.387580871582031,76.2699966430664,6.906529903411865
2018-01-18,2244.5,7.978866577148437,3.177000045776367,35.04794692993164,72.97119140625,2.779623508453369,4.25375509262085,76.18000030517578,6.906529903411865
2018-01-19,2244.5,7.964759826660156,3.1670000553131104,34.774559020996094,72.03446197509766,2.801453351974488,4.139047145843506,76.68000030517578,6.911702156066895
2018-01-22,2244.5,7.936538219451904,3.177500009536743,34.64697265625,72.43257904052734,2.728688240051269,4.129487991333008,76.5999984741211,6.891007423400879
2018-01-23,2244.5,7.710790634155273,3.0894999504089355,34.883914947509766,73.6971664428711,2.772346973419189,4.244195938110352,75.95999908447266,6.570256233215332
2018-01-24,2244.5,7.950649738311768,3.2084999084472656,34.9385871887207,74.5636215209961,2.779623508453369,4.158164978027344,76.20999908447266,6.818581581115723
2018-01-25,2244.5,7.901266098022461,3.1989998817443848,35.221092224121094,74.84464263916016,2.786900281906128,3.928749084472656,76.20999908447266,6.699592113494873
2018-01-26,2244.5,8.000031471252441,3.182499885559082,35.15729904174805,74.5636215209961,,,76.20999908447266,6.78236722946167
2018-01-29,,8.21167278289795,,34.874794006347656,74.25919342041016,2.8887715339660645,3.9096310138702393,76.0999984741211,6.7513275146484375
2018-01-30,2250.0,8.141125679016113,3.177000045776367,34.32802963256836,71.8939437866211,2.786900281906128,3.871395111083984,75.98999786376953,6.720285415649414
2018-01-31,2250.0,8.063523292541504,3.184000015258789,34.209564208984375,71.47242736816406,2.779623508453369,3.77580499649048,75.86000061035156,6.772019863128662
2018-02-01,2250.0,8.021197319030762,3.197000026702881,33.61723327636719,72.17497253417969,2.830559253692627,3.747128009796143,71.98999786376953,6.818581581115723
2018-02-02,2250.0,7.485037803649902,3.176500082015991,32.30498123168945,69.8565673828125,2.786900281906128,3.584625005722046,72.94000244140625,6.487481117248535
2018-02-05,2250.0,7.329836845397949,3.2105000019073486,31.1385440826416,66.78878021240234,2.71413516998291,3.3360910415649414,74.33999633789062,6.409879684448242
2018-02-06,2250.0,7.61202335357666,3.177500009536743,31.86756896972656,67.72550201416016,2.626817226409912,3.1735880374908447,74.43000030517578,6.756499290466309
2018-02-07,2250.0,7.358054637908935,3.076499938964844,32.031593322753906,67.84260559082031,2.69230580329895,3.2500600814819336,75.19999694824219,6.575429916381836
2018-02-08,2250.0,7.0476484298706055,3.072000026702881,31.07474708557129,64.75138854980469,2.699582099914551,3.2213830947875977,75.69000244140625,6.394359111785889
2018-02-09,2250.0,7.082920074462891,3.024499893188477,31.439266204833984,63.79125213623047,2.6631996631622314,3.144911050796509,74.88999938964844,6.678897857666016
2018-02-12,2250.0,7.202850818634033,3.077500104904175,32.368778228759766,66.15648651123047,2.7359650135040283,3.011085033416748,75.6500015258789,6.761673450469971
2018-02-13,2250.0,7.379219055175781,3.1545000076293945,32.232078552246094,67.72550201416016,2.699582099914551,3.1353518962860107,76.48999786376953,6.865142345428467
2018-02-14,2250.0,7.661405563354492,3.22849988937378,32.98844909667969,68.89642333984375,2.69230580329895,3.058880090713501,76.66999816894531,7.242800712585449
2018-02-15,2250.0,7.746063709259033,3.239000082015991,33.49876022338867,69.73947143554688,2.5467753410339355,3.1640288829803467,76.76000213623047,7.310057640075684
2018-02-16,2250.0,7.731954574584961,3.243000030517578,33.043121337890625,69.36478424072266,2.4157984256744385,3.2691779136657715,76.88999938964844,7.304883003234863
2018-02-19,,,,,,2.386693000793457,3.307414054870605,,
2018-02-20,2250.0,7.506203174591064,3.186000108718872,32.91554260253906,68.66223907470703,2.335757255554199,3.307414054870605,76.97000122070312,7.232454299926758
2018-02-21,2250.0,7.908320426940918,3.2114999294281006,32.778846740722656,69.08375549316406,2.2775447368621826,3.2500600814819336,77.18000030517578,7.066906929016113
2018-02-22,2250.0,7.880101203918457,3.237499952316284,33.198036193847656,70.23125457763672,2.2848212718963623,3.326531887054444,77.05999755859375,7.232454299926758
2018-02-23,2250.0,7.858937740325928,3.2084999084472656,33.92706680297852,71.28507232666016,2.437628030776977,3.3169729709625244,77.11000061035156,7.346270561218262
2018-02-26,2250.0,7.922430992126465,3.196000099182129,32.76973342895508,72.17497253417969,2.437628030776977,3.3934450149536133,77.44000244140625,7.579074859619141
2018-02-27,2255.0,7.73900842666626,3.157500028610229,32.459896087646484,70.37178039550781,2.459457874298096,3.3552091121673584,77.37000274658203,7.496300220489502
2018-02-28,2255.0,7.456819534301758,3.1075000762939453,31.18409538269043,70.37178039550781,2.4157984256744385,3.2691779136657715,77.45999908447266,7.103120803833008
2018-03-01,2255.0,7.245179176330566,3.0994999408721924,30.564428329467773,69.76289367675781,2.430351734161377,3.2118239402771,78.41999816894531,7.025517463684082
2018-03-02,2255.0,7.1746320724487305,3.1010000705718994,30.63733291625977,69.8799819946289,2.4012458324432373,3.039762020111084,76.36000061035156,6.9272236824035645
2018-03-05,2255.0,7.097029685974121,3.1054999828338623,30.628217697143555,69.83313751220703,2.3939692974090576,3.030203104019165,75.36000061035156,6.942743301391602
2018-03-06,2255.0,7.231069564819336,3.13700008392334,31.35724639892578,71.19140625,2.495840072631836,3.1640288829803467,75.54000091552734,6.999650478363037
2018-03-07,2255.0,7.1605224609375,3.114000082015991,31.32079124450684,70.02049255371094,2.430351734161377,3.154469966888428,74.51000213623047,6.87460994720459
2018-03-08,2255.0,7.06881046295166,3.058500051498413,31.56683921813965,69.95023345947266,2.4329490661621094,3.2309420108795166,73.01000213623047,6.633946895599365
2018-03-09,2255.0,7.195795059204102,3.115999937057495,32.350547790527344,70.46543884277344,2.3955187797546387,3.1353518962860107,72.01000213623047,6.743816375732422
2018-03-12,2255.0,7.209905624389648,3.1040000915527344,32.58748245239258,70.79329681396484,2.425462484359741,3.2118239402771,71.41000366210938,6.801364421844482
2018-03-13,2255.0,7.365108013153076,3.11899995803833,32.505462646484375,70.20783996582031,2.380546808242798,3.1353518962860107,72.33000183105469,6.749045372009277
2018-03-14,2255.0,7.51325798034668,3.140000104904175,32.54191207885742,71.44898986816406,2.380546808242798,3.3169729709625244,72.76000213623047,6.822293758392334
2018-03-15,2255.0,7.442709922790527,3.111000061035156,32.43257141113281,71.37875366210938,2.3955187797546387,3.536829948425293,73.01000213623047,6.722888469696045
2018-03-16,2255.0,7.555586338043213,3.0929999351501465,32.34143829345703,69.92681884765625,2.530266523361206,3.6802148818969727,72.66000366210938,6.696728706359863
2018-03-19,2255.0,7.308671951293945,3.069499969482422,31.61240196228028,69.38819122314453,2.552724838256836,3.527271032333374,71.83999633789062,6.5240797996521
2018-03-20,2255.0,7.216960430145264,3.025500059127808,31.49393653869629,68.56855773925781,2.4778647422790527,3.527271032333374,71.62999725341797,6.565932273864746
2018-03-21,2255.0,7.400382041931152,3.048500061035156,31.721757888793945,69.01351928710938,2.462892532348633,3.55594801902771,71.55000305175781,6.796132564544678
2018-03-22,2255.0,7.061755180358887,3.01200008392334,30.89249992370605,67.60841369628906,2.530266523361206,3.55594801902771,70.95999908447266,6.581628322601318
2018-03-23,2255.0,7.040591716766357,2.984499931335449,30.263710021972656,64.9387435913086,2.3955187797546387,3.498594045639038,70.26000213623047,6.545005798339844
2018-03-26,2255.0,7.139357566833496,2.9605000019073486,30.71935272216797,66.53118133544922,2.373060703277588,3.3743269443511963,70.51000213623047,6.639179229736328
